Report_Type,Date_or_Range,Year,Month,Day_of_Week,Daily_Sales_Price_Per_Unit,Sales_Per_Unit_Q1,Monthly_Avg_Unit_Sales_Price,Daily_Revenue,Daily_Gross_Profit,Daily_Gross_Profit_Percentage,Daily_Cost_Per_Unit,Gross_Profit_Per_Unit,Final_PED,Performance_Conclusion,Total_Cost_of_Sales,Total_Sales,Total_Quantity_Sold
PED Summary,2014-08-26 to 2014-09-08,-,-,-,-,-,-,-,-,-,-,-,-10.57,WORSE/SAME,-,-,-
PED Summary,2015-09-25 to 2015-10-06,-,-,-,-,-,-,-,-,-,-,-,-6.24,WORSE/SAME,-,-,-
PED Summary,2016-06-21 to 2016-07-02,-,-,-,-,-,-,-,-,-,-,-,-6.42,WORSE/SAME,-,-,-
Grand Totals,All Dates,-,-,-,-,-,-,-,-,-,-,-,-,-,194026108,186909825,5279872
Daily Detail,12/30/2013,2013,12,Mon,32.8,33,32.57,223938,-6142,-2.74,33.7,-0.9,-,-,-,-,-
Daily Detail,12/31/2013,2013,12,Tue,32.41,32,32.57,300345,-6641,-2.21,33.12,-0.72,-,-,-,-,-
Daily Detail,1/1/2014,2014,1,Wed,32.41,32,33.41,86782,-1204,-1.39,32.86,-0.45,-,-,-,-,-
Daily Detail,1/2/2014,2014,1,Thu,32.42,32,33.41,200173,-2708,-1.35,32.86,-0.44,-,-,-,-,-
Daily Detail,1/3/2014,2014,1,Fri,32.42,32,33.41,326906,-6900,-2.11,33.1,-0.68,-,-,-,-,-
Daily Detail,1/4/2014,2014,1,Sat,32.42,32,33.41,307044,-6608,-2.15,33.12,-0.7,-,-,-,-,-
Daily Detail,1/5/2014,2014,1,Sun,32.44,32,33.41,179189,-3894,-2.17,33.14,-0.7,-,-,-,-,-
Daily Detail,1/6/2014,2014,1,Mon,32.43,32,33.41,306352,-7094,-2.32,33.18,-0.75,-,-,-,-,-
Daily Detail,1/7/2014,2014,1,Tue,32.41,32,33.41,224020,-5514,-2.46,33.21,-0.8,-,-,-,-,-
Daily Detail,1/8/2014,2014,1,Wed,34.06,34,33.41,101836,2454,2.41,33.24,0.82,-,-,-,-,-
Daily Detail,1/9/2014,2014,1,Thu,34.13,34,33.41,107804,2988,2.77,33.18,0.95,-,-,-,-,-
Daily Detail,1/10/2014,2014,1,Fri,34.11,34,33.41,144830,3496,2.41,33.29,0.82,-,-,-,-,-
Daily Detail,1/11/2014,2014,1,Sat,34.11,34,33.41,146571,3391,2.31,33.32,0.79,-,-,-,-,-
Daily Detail,1/12/2014,2014,1,Sun,34.13,34,33.41,95422,2296,2.41,33.31,0.82,-,-,-,-,-
Daily Detail,1/13/2014,2014,1,Mon,34.1,34,33.41,114883,2697,2.35,33.3,0.8,-,-,-,-,-
Daily Detail,1/14/2014,2014,1,Tue,34.11,34,33.41,80091,1994,2.49,33.26,0.85,-,-,-,-,-
Daily Detail,1/15/2014,2014,1,Wed,34.08,34,33.41,98945,1786,1.81,33.47,0.62,-,-,-,-,-
Daily Detail,1/16/2014,2014,1,Thu,34.08,34,33.41,84905,1555,1.83,33.46,0.62,-,-,-,-,-
Daily Detail,1/17/2014,2014,1,Fri,34.14,34,33.41,135461,2758,2.04,33.44,0.7,-,-,-,-,-
Daily Detail,1/18/2014,2014,1,Sat,34.13,34,33.41,149926,2998,2,33.45,0.68,-,-,-,-,-
Daily Detail,1/19/2014,2014,1,Sun,34.14,34,33.41,74297,1515,2.04,33.45,0.7,-,-,-,-,-
Daily Detail,1/20/2014,2014,1,Mon,34.12,34,33.41,83356,1567,1.88,33.48,0.64,-,-,-,-,-
